"s1","s2","s3","s4","s5","s6","method","em","matches"
5,1,4,3,6,2,"cart",1.53383111953735,11
2,3,4,1,6,5,"cart",1.97964835166931,4
1,4,3,6,2,5,"cart",1.63515496253967,16
4,2,5,6,3,1,"cart",1.62863671779633,10
6,4,3,2,1,5,"cart",1.92339265346527,17
3,1,2,4,5,6,"cart",1.3521636724472,5
3,4,6,2,5,1,"cart",1.31849575042725,6
4,2,1,3,5,6,"cart",1.68733394145966,6
1,5,3,2,6,4,"cart",1.37961661815643,16
3,5,6,1,2,4,"cart",1.43383920192719,6
3,4,2,6,1,5,"cart",1.91904938220978,8
6,1,5,3,2,4,"cart",1.39560949802399,16
3,4,2,1,5,6,"cart",1.3221400976181,7
3,5,1,6,2,4,"cart",1.63021111488342,4
3,5,2,1,4,6,"cart",1.434246301651,2
1,5,2,3,4,6,"cart",1.45810425281525,10
1,2,6,4,3,5,"cart",1.42531180381775,16
3,2,4,1,6,5,"cart",1.45272934436798,3
3,2,4,6,5,1,"cart",2.11098074913025,6
2,4,3,5,1,6,"cart",1.474161028862,14
2,1,5,4,3,6,"cart",1.47045183181763,7
1,6,3,5,4,2,"cart",1.87951517105103,12
2,6,1,3,5,4,"cart",1.45795094966888,14
6,4,5,1,2,3,"cart",1.61603987216949,10
3,4,6,1,2,5,"cart",2.22564220428467,4
1,2,5,4,6,3,"cart",1.3297506570816,8
3,4,6,5,2,1,"cart",1.47925639152527,8
5,6,4,1,3,2,"cart",1.47234714031219,10
2,6,1,5,3,4,"cart",1.79063129425049,9
3,5,6,2,1,4,"cart",1.44389569759369,6
1,3,6,2,5,4,"cart",1.70191359519958,7
1,3,4,6,2,5,"cart",1.320796251297,5
3,6,2,1,4,5,"cart",1.72686851024628,6
3,1,5,2,6,4,"cart",1.54596281051636,6
4,6,1,5,3,2,"cart",1.53484404087067,17
6,2,5,1,4,3,"cart",1.31990885734558,11
4,1,6,2,3,5,"cart",1.97093522548676,15
5,3,2,4,6,1,"cart",1.48791801929474,13
4,3,1,6,2,5,"cart",1.50945043563843,8
5,2,1,3,6,4,"cart",1.51607382297516,12
4,6,5,1,2,3,"cart",1.22409129142761,16
5,6,4,3,2,1,"cart",1.9062192440033,16
3,4,5,6,1,2,"cart",1.41132950782776,12
4,6,1,3,2,5,"cart",1.80810832977295,18
6,1,5,4,3,2,"cart",1.80808353424072,8
4,6,1,5,2,3,"cart",1.41396200656891,10
6,1,3,5,4,2,"cart",1.61398899555206,9
1,6,3,5,2,4,"cart",1.71904802322388,14
6,1,3,4,5,2,"cart",1.4266003370285,6
5,4,2,1,6,3,"cart",1.3376100063324,23
4,3,1,6,5,2,"cart",1.38606679439545,11
4,3,1,2,5,6,"cart",1.60118222236633,12
1,3,6,2,4,5,"cart",1.84183585643768,1
1,2,4,6,3,5,"cart",1.42742276191711,15
2,4,1,5,6,3,"cart",1.31267738342285,11
1,3,4,5,6,2,"cart",1.66808676719666,8
3,5,4,6,2,1,"cart",1.98070573806763,5
5,4,1,3,2,6,"cart",1.69004642963409,14
6,1,5,3,4,2,"cart",1.50334882736206,20
4,6,1,3,5,2,"cart",1.72035801410675,23
5,3,6,4,2,1,"cart",1.36915874481201,12
6,3,2,1,4,5,"cart",1.36972415447235,13
5,4,3,6,2,1,"cart",1.33778142929077,17
3,5,6,2,4,1,"cart",1.45433783531189,5
5,3,2,1,4,6,"cart",1.42819368839264,9
4,5,2,3,1,6,"cart",1.38689732551575,10
1,3,6,2,5,4,"cart",1.54297590255737,4
1,5,2,6,3,4,"cart",1.88567876815796,11
2,5,1,3,6,4,"cart",1.56526839733124,11
4,5,1,6,3,2,"cart",1.59644079208374,12
6,2,5,4,3,1,"cart",1.59151148796082,12
4,6,1,2,3,5,"cart",1.47963047027588,10
3,4,5,2,1,6,"cart",1.56229245662689,4
2,6,1,4,3,5,"cart",1.80375862121582,17
3,4,6,2,1,5,"cart",1.99073886871338,6
6,5,2,4,3,1,"cart",1.48770880699158,15
2,6,1,4,5,3,"cart",1.69862401485443,12
3,5,6,1,2,4,"cart",1.5443389415741,3
1,5,2,4,6,3,"cart",1.41337525844574,17
6,4,2,5,1,3,"cart",1.95309007167816,4
1,5,2,3,4,6,"cart",1.48346710205078,19
4,5,1,2,6,3,"cart",1.38030064105988,16
1,4,2,5,6,3,"cart",1.44512796401978,12
4,6,2,1,5,3,"cart",1.4157612323761,17
3,6,1,4,2,5,"cart",1.388432264328,3
5,6,1,4,2,3,"cart",1.52968418598175,7
3,6,5,1,2,4,"cart",1.45040619373322,3
4,2,3,5,1,6,"cart",1.26306569576263,10
3,2,1,4,6,5,"cart",1.55614697933197,4
2,5,1,4,6,3,"cart",1.53985464572906,10
5,3,6,2,4,1,"cart",2.06584787368774,18
2,4,6,3,5,1,"cart",1.86161530017853,11
6,4,1,5,2,3,"cart",1.60106599330902,12
6,2,5,4,3,1,"cart",1.68854749202728,11
1,3,2,6,4,5,"cart",1.42510545253754,4
3,5,1,2,6,4,"cart",1.94644820690155,8
1,3,5,6,4,2,"cart",1.38140439987183,10
4,2,5,6,1,3,"cart",1.29156339168549,4
6,5,3,4,1,2,"cart",1.57255554199219,18
5,6,2,4,1,3,"cart",1.35522198677063,11
5,3,2,4,6,1,"cart",1.45953369140625,12
2,1,4,3,5,6,"cart",1.53514063358307,14
6,3,1,2,5,4,"cart",1.55530345439911,6
2,3,1,6,4,5,"cart",1.29845416545868,7
6,3,2,5,1,4,"cart",1.6231917142868,8
5,6,1,3,4,2,"cart",2.15766167640686,14
4,6,5,2,1,3,"cart",1.54197418689728,9
5,3,2,1,6,4,"cart",1.5167270898819,7
6,4,5,3,1,2,"cart",1.90270256996155,20
5,3,1,2,4,6,"cart",1.68090772628784,14
4,1,2,3,5,6,"cart",1.68195879459381,13
1,4,5,6,2,3,"cart",1.58549582958221,14
3,2,5,1,4,6,"cart",1.62459826469421,6
5,4,2,3,6,1,"cart",1.38478362560272,14
5,2,1,3,4,6,"cart",1.31419813632965,16
2,5,3,1,4,6,"cart",1.55940365791321,9
6,1,5,3,2,4,"cart",1.49241614341736,18
3,4,6,2,5,1,"cart",1.4330792427063,3
2,6,3,4,1,5,"cart",1.41245090961456,14
6,4,3,1,5,2,"cart",1.84931647777557,20
3,5,1,6,2,4,"cart",1.85029792785645,4
5,4,1,3,6,2,"cart",1.31984865665436,11
2,3,4,5,1,6,"cart",1.33459389209747,5
2,1,4,3,6,5,"cart",1.48513948917389,19
6,2,1,3,4,5,"cart",1.35409331321716,15
3,4,5,6,1,2,"cart",1.30260717868805,1
2,4,6,1,3,5,"cart",1.60765159130096,10
1,4,3,5,2,6,"cart",1.36503052711487,8
